,Country,Bank,Date,Period,Deposits Market Share,Total Assets Market Share,Loans Market Share,NPLs / Gross Loan Portfolio (GLP),LLR/ NPLs,LLR/GLP,YoY Loan Growth,Regulatory CAR,CAR Headroom,Equity / Assets,OCER (NPLs - LLRs) / Equity,Internal Capital Generation,ROAA,ROAE,Operating Profits / Average Assets,(Savings + Current) / Total Liabilities,Market Funds / Total Liabilities,(Cash and Deposits + Securities) / Total Assets,GLP / Deposits
37,Ecuador,BANCA MULTIPLE,3/31/21,2021-Q1,0.837977829,0.829511661,0.817966352,0.0,-inf,-0.07511587552419531,-0.007175842,,,0.125463202310307,inf,0.049562307134997076,0.0065535192734017655,0.09912461426999415,0.0004800356245890757,0.53904856034446,0.01726101212271142,0.19077325649892637,0.7734591452497692
38,Ecuador,BANCOS PRIVADOS,3/31/19,2019-Q1,1.0,1.0,1.0,0.0,-inf,-0.06386738471737548,,,,0.13875037070018095,inf,0.09648433480984553,,,,0.5245890759449316,0.008949735738632034,0.1408242865075715,0.8765340298681633
39,Ecuador,BANCA MULTIPLE,6/30/21,2021-Q2,0.843282999,0.833577836,0.818711314,0.0,-inf,-0.07223061315316767,0.06492375,,,0.1508206455565452,inf,0.044182355210965175,0.007010809847140487,0.08836471042193035,0.002588477375712346,0.5372300233566207,0.016850491369916374,0.17872311412303074,0.7804120884801959
40,Ecuador,BP AMAZONAS,6/30/19,2019-Q2,0.005372291,0.005044285,0.004690532,0.0,-inf,-0.033642467174576994,,,,0.1591660297990238,inf,0.003302568750873145,,,,0.24325840784431044,0.0019963905163637398,0.0963752505591942,0.7602520321882255
41,Ecuador,BP AUSTRO,6/30/19,2019-Q2,0.046513981,0.041640509,0.036371802,0.0,-inf,-0.06381580255567484,,,,0.1586755408907947,inf,0.044209293168001935,,,,0.46367866000402747,0.0,0.15714049016270626,0.7028340546724771
42,Ecuador,BANCA MULTIPLE,9/30/21,2021-Q3,0.841795673,0.83133467,0.821470208,0.0,-inf,-0.06919202648498064,0.135999964,,,0.17312171668114554,inf,0.03686600356887555,0.006718922905539034,0.07373200714800802,0.0034905069646772166,0.5401343444350163,0.016539822544320307,0.16192453130051032,0.8001709433120138
43,Ecuador,BP BANCODESARROLLO,6/30/19,2019-Q2,0.00374029,0.004138787,0.004866929,0.0,-inf,-0.0879371903069378,,,,0.20324440826456114,inf,0.045500777063243375,,,,0.27812478402408675,0.0053128851358301725,0.09993085744877393,1.2004878338317295
44,Ecuador,BP BOLIVARIANO,6/30/19,2019-Q2,0.084357953,0.080702809,0.073061586,0.0,-inf,-0.0361489352956885,,,,0.13110024003636173,inf,0.1023067184868334,,,,0.568616494911787,0.0019718625692746027,0.2141857893984329,0.7561116484382112
45,Ecuador,BANCOS PRIVADOS,12/31/21,2021-Q4,1.0,1.0,1.0,0.0,-inf,-0.06927070506672518,,,,0.19998142261257945,inf,0.03696544460351485,,,,0.5258561116380999,0.013700205460724894,0.1753866160527916,0.8168860247417004
46,Ecuador,BP CAPITAL,6/30/19,2019-Q2,7.8762e-05,0.000352756,4.14768e-05,0.0,-inf,-0.8723758507768075,,,,0.7569847985499591,inf,-0.21440470627276287,,,,0.3840575425341331,0.0,0.26093459426622123,3.4720691150698166
