Country,Bank,Date,Activos y Contingentes Ponderados (AYCP),Capital Nivel 1 (C1),Capital Nivel 1 + 2 (C1+2),C1 / AYCP,C1+2 / AYCP,Patrimonio Neto/Activos y Contingentes Totales,Activos y Contingentes/Patrimonio (veces),Préstamos Vencidos/Patrimonio Neto,Préstamos Vigentes/Préstamos Totales,Previsiones/Préstamos Vencidos,Previsiones/Préstamos Vigentes,Cartera Vencida/Cartera Total - Morosidad,Cartera Vencida/Cartera Total Neta de Previsiones,Renovados/Cartera,Refinanciados/Cartera,Reestructurados/Cartera,RRR+Medidas transitorias/Cartera,Vencidos+RRR+Medidas transitorias/Cartera,Cuenta Corriente,A la Vista,Plazo Fijo,CDA,Títulos de Inversión,Intereses Devengados,Local,Extranjera,Utilidad antes de Impuesto/Activo (Anual),Utilidad antes de Impuesto/Patrimonio (Anual),Disponible + Inversiones Temporales/Depósitos,Disponible + Inversiones Temporales/Pasivo,Activo/Pasivo,Activo/Pasivo + Contingencias,Gastos Personales/Gastos Administrativos,Gastos Personales/Margen Operativo,Gastos Administrativos/Margen Operativo,Gastos Personales/Depósitos (Anual),Gastos Administrativos/Depósitos (Anual),RRR/Cartera
Paraguay,Banco GNB Paraguay S.A.,6/30/2019,5296640.1,483489,852483,0.091282207,0.160947881,0.123304936,8.109975445,0.083602289,0.985937474,1.426646518,0.020348403,0.014062526,0.00714351,0.186789495,0.005834552,0.008975647,0.201599694,0.21566222,0.179988747,0.303037357,0.000537773,0.509296662,0,0.007139462,0.495274165,0.504725835,0.027468707,0.232495354,0.284421834,0.2461805,1.149972845,1.078466982,0.426075973,0.146106175,0.342911087,0.010841726,0.025445523,
Paraguay,Banco Do Brasil S.A.,6/30/2019,632277,93010,105291,0.147103247,0.166526696,0.108598028,9.208270297,0.131053098,0.97548703,1.214738925,0.03052512,0.02451297,0,0.006185479,0,0,0.006185479,0.030698449,0.07887391,0.060315128,0,0.851724748,0,0.009086213,0.022539514,0.977460486,0.004165659,0.037268248,0.554312118,0.432119635,1.128043836,1.073286461,0.408421389,0.344326433,0.843066603,0.012037298,0.029472742,
Paraguay,Citibank N.A.,6/30/2019,699141.4,161448,322896,0.230923244,0.461846488,0.204262828,4.895653357,0,1,--,0.009312507,0,0,0.261934201,0,0,0.261934201,0.261934201,0.651256467,0.296692697,0.037582624,0.012460985,0,0.002007227,0.443139736,0.556860264,0.108664324,0.629013086,0.63222941,0.512573498,1.279378165,1.175509567,0.284859913,0.083533767,0.293245075,0.015452248,0.054245076,
Paraguay,Banco Bilbao Vizcaya Argentaria Paraguay S.A.,6/30/2019,7419378.6,903797,1500795,0.121815727,0.202280417,0.093127858,10.73792544,0.320995245,0.953354526,0.882515451,0.043179479,0.046645474,0.021668147,0.116374052,0.003007836,0.043879085,0.163260973,0.209906447,0.230202794,0.416423047,0.019495976,0.329124609,0,0.004753573,0.516959989,0.483040011,0.014512473,0.160262469,0.402056299,0.362964879,1.107693516,1.056242436,0.444074921,0.196939254,0.443482044,0.012005757,0.02703543,
Paraguay,Sudameris Bank S.A.E.C.A.,6/30/2019,6032018.9,601521,817844,0.099721339,0.135583793,0.071848812,13.91811457,0.138302337,0.985899532,1.130352462,0.016166453,0.014100468,0.005455286,0.090753339,0.007381315,0.001979786,0.10042466,0.114525128,0.171395156,0.280109626,7.89736E-05,0.540368502,0,0.008047743,0.472828441,0.527171559,0.014294315,0.196420736,0.259477979,0.191996448,1.086103961,0.976448034,0.433468211,0.246944999,0.569695755,0.016377615,0.037782735,
Paraguay,Banco Itaú Paraguay S.A.,6/30/2019,12383481.1,1500000,2156319,0.121129106,0.174128662,0.11322655,8.831850858,0.110591702,0.97591034,0.952338324,0.023507801,0.02408966,0.010223735,0.191692731,0.001393794,0.003144198,0.196230723,0.220320383,0.393633842,0.417616921,0.009094845,0.175759929,0,0.003894462,0.548576133,0.451423867,0.040554309,0.364979681,0.439559615,0.37237748,1.148968295,0.984803965,0.356034935,0.146077965,0.410291101,0.016568532,0.046536252,
Paraguay,Banco Continental S.A.E.C.A.,6/30/2019,11798136.7,2152498,2645155,0.182443894,0.224201081,0.123994743,8.064858051,0.132528152,0.972704248,1.288070861,0.036145481,0.027295752,0.016754236,0.140780224,0.00723558,0.023360781,0.178325584,0.205621336,0.282813185,0.226032134,0.012938912,0.466943455,0,0.011272314,0.569729456,0.430270544,0.022049228,0.179770544,0.419464306,0.313614052,1.153106673,1.066036134,0.390690507,0.172742789,0.442147392,0.012940225,0.033121422,
Paraguay,Banco Regional S.A.E.C.A.,6/30/2019,10944606.9,1499041,1644099,0.13696618,0.150220014,0.09231315,10.83269279,0.128998315,0.983695399,1.212310303,0.020093859,0.016304601,0.00945812,0.094559429,0.000233955,0.057097994,0.151891378,0.16819598,0.234777989,0.249866325,0,0.504457516,0,0.010898169,0.41998377,0.58001623,0.013592964,0.146961535,0.310432522,0.218844498,1.109483234,1.030624956,0.514095968,0.253995626,0.494062669,0.018047967,0.035106222,
Paraguay,Banco BASA S.A.,6/30/2019,4238920.7,432723,624937,0.102083297,0.14742833,0.080220969,12.46556874,0.165123433,0.978582902,1.152878274,0.025231696,0.021417098,0.006655183,0.162584777,0.008812391,0.001547992,0.173050786,0.194467884,0.206027995,0.172968043,0,0.611991174,0,0.009012788,0.370671766,0.629328234,0.024079744,0.327164107,0.290236204,0.217255291,1.09157341,1.039651914,0.515983505,0.267686966,0.518789775,0.020924187,0.040552047,
Paraguay,Visión Banco S.A.E.C.A.,6/30/2019,5040021.2,525641,770492,0.104293411,0.152874754,0.084280382,11.86515747,0.496701965,0.941460504,0.577416612,0.035903447,0.058539496,0.041279493,0.083706519,0.019649061,0.018301925,0.130630597,0.189170093,0.199328136,0.272882238,0.001172983,0.515541918,0,0.011074726,0.824046054,0.175953946,0.00705062,0.084416969,0.296794219,0.257832662,1.094189844,1.069184312,0.534895207,0.281078403,0.525483122,0.040663507,0.076021447,
Paraguay,Banco Río S.A.E.C.A.,6/30/2019,2080775.5,313049,353504,0.150448234,0.169890505,0.1181982,8.460365722,0.334532603,0.936394065,0.531341546,0.036092151,0.063605935,0.049083294,0.113358828,0.029293786,0.098462536,0.24111515,0.304721085,0.099558031,0.169251418,0.122581972,0.594348294,0,0.014260285,0.593558199,0.406441801,0.012823762,0.112730041,0.237476642,0.208234704,1.135758006,1.121399189,0.453607207,0.520689296,1.147885855,0.017183698,0.03788233,
Paraguay,Banco Familiar S.A.E.C.A.,6/30/2019,3526014.3,507747,686291,0.144000267,0.194636477,0.150042679,6.664770351,0.235512609,0.951090709,1.232735095,0.063392691,0.048909291,0.030957652,0.19218039,0.007508195,0.020498556,0.220711597,0.269620889,0.255881603,0.294125155,0,0.436198111,0,0.01379513,0.747191916,0.252808084,0.03429256,0.239106956,0.327198922,0.270387649,1.188244488,1.114297692,0.414003864,0.205679187,0.496804993,0.045982955,0.111068903,
Paraguay,Banco Atlas S.A.,6/30/2019,3641319.9,374828,699531,0.102937399,0.192109185,0.111186736,8.993878584,0.236336428,0.955812788,0.915777052,0.042336361,0.044187212,0.02155474,0.102636894,0.007099072,0.039306132,0.149042098,0.19322931,0.310734323,0.314884402,0.000533804,0.36333247,0,0.010515001,0.441410053,0.558589947,0.031227989,0.309208884,0.506959847,0.417806733,1.130509581,1.083613247,0.445562198,0.180074817,0.404151917,0.018788808,0.042168767,
Paraguay,Banco para la Comercialización y Producción S.A. - Bancop S.A.,6/30/2019,1555528.8,189225,251714,0.121646735,0.161818926,0.077025176,12.98276812,0.102502623,0.988177011,1.21031801,0.014480782,0.011822989,0.003553861,0.072525699,0.002684888,0.003101344,0.078311931,0.090134919,0.113303612,0.313331515,0,0.561515017,0,0.011849857,0.445592617,0.554407383,0.009839432,0.130728253,0.350128339,0.267435179,1.08668999,1.046115312,0.466537947,0.273084231,0.585341949,0.014425315,0.030919918,
Paraguay,Grupo Internacional de Finanzas S.A.E.C.A. - INTERFISA BANCO,6/30/2019,1669812.5,164362,225039,0.098431411,0.134769023,0.082714447,12.08978645,0.340989124,0.958178363,0.800645026,0.034945775,0.041821637,0.018532158,0.080323693,0.012284934,0.002773331,0.100304153,0.14212579,0.156091678,0.178102262,0.061763793,0.588022972,0,0.016019295,0.638099463,0.361900537,0.007426659,0.089232905,0.251676064,0.23183999,1.095219635,1.037173769,0.534895514,0.369094062,0.690030206,0.037576033,0.070249296,
Paraguay,Banking System Paraguay,6/30/2019,82425214,11416534,15444634,0.138507787,0.187377542,0.111154933,8.996451828,0.166394842,0.970219634,0.989548358,0.030373651,0.029780366,0.01558143,0.130464837,0.005754558,0.024122267,0.16249822,0.192278587,0.262688065,0.31993832,0.012587692,0.396671159,0,0.008114763,0.547611988,0.452388012,0.024870088,0.23158767,0.389307793,0.317107169,1.134773895,1.052946321,0.453177059,0.210165977,0.463761288,0.019372394,0.042747957,
Paraguay,Banco Nacional de Fomento,9/30/2019,5426401.2,1435176,1718167,0.26448026,0.31663103,0.183492216,5.449822468,0.105146377,0.961448536,0.829750746,0.033270742,0.038551464,0.018130548,0.112496647,0.002198992,0.010528931,0.136864394,0.175415858,0.338327042,0.465918294,0.029448226,0.162922545,0,0.003383893,0.778963682,0.221036318,0.045228744,0.292018297,0.500671927,0.474339068,1.232748929,1.190266631,0.550292823,0.220104019,0.399976176,0.025206567,0.045805735,
Paraguay,Banco de la Nación Argentina,9/30/2019,354393.4,78979,70077,0.222856859,0.197737881,0.124226933,8.04978418,0.520340814,0.911889131,0.850820148,0.082210106,0.088110869,0.020428696,0.421279153,0,0,0.421279153,0.509390022,0.149916658,0.343660736,0.004567876,0.499470749,0,0.002383981,0.155437545,0.844562455,0.004629813,0.038310059,0.376208364,0.345898181,1.1419742,1.140961629,0.668025451,0.471961816,0.706502747,0.035033483,0.052443336,
Paraguay,Banco GNB Paraguay S.A.,9/30/2019,5740279.7,483489,852483,0.084227429,0.148508966,0.11265275,8.876836143,0.114919828,0.980920396,1.155167639,0.022468838,0.019079604,0.008627224,0.192324044,0.012655159,0.008862478,0.218016637,0.237096242,0.157304898,0.348705002,0.000537647,0.486320144,0,0.00713231,0.431323315,0.568676685,0.022639195,0.219439058,0.257209475,0.221020438,1.13433904,1.071985297,0.406975124,0.146968032,0.361122887,0.009501372,0.02334632,
Paraguay,Banco Do Brasil S.A.,9/30/2019,633538,93010,105291,0.146810452,0.16619524,0.105612025,9.468618747,0.144275589,0.972044671,1.154110292,0.03319141,0.027955329,0.001666467,0.002518783,0,0,0.002518783,0.030474112,0.041184744,0.284696636,0.004215959,0.660539721,0,0.00936294,0.097809276,0.902190724,0.004255055,0.039225457,0.565170781,0.444760551,1.125058936,1.062301909,0.410224315,0.33178841,0.808797522,0.011558855,0.028176913,
Paraguay,Citibank N.A.,9/30/2019,769206.4,161448,322896,0.209889049,0.419778099,0.215169557,4.647497609,0,1,--,0.013036667,0,0,0.255401197,0,0,0.255401197,0.255401197,0.579442739,0.388310728,0.02028196,0.011818285,0,0.000146289,0.422086418,0.577913582,0.093004325,0.535723202,0.614664428,0.55277969,1.302092389,1.181699361,0.282622235,0.089148261,0.315432581,0.014540191,0.05144744,
Paraguay,Banco Bilbao Vizcaya Argentaria Paraguay S.A.,9/30/2019,7331767.9,903797,1347416,0.12327136,0.183777776,0.09096018,10.99382175,0.332947024,0.955073407,0.948833076,0.044633049,0.044926593,0.016473336,0.120794831,0.002525906,0.042129113,0.165449851,0.210376444,0.243514596,0.366825009,0.027195383,0.356492116,0,0.005972896,0.497656393,0.502343607,0.01770932,0.213350989,0.37010971,0.331845542,1.105179371,1.051406366,0.428133079,0.194558357,0.454434302,0.012538587,0.029286658,
Paraguay,Sudameris Bank S.A.E.C.A.,9/30/2019,6146225.4,594381,874154,0.096706671,0.142226154,0.068857768,14.52268982,0.210631517,0.97938824,0.699642391,0.014724356,0.02061176,0.012722704,0.092597433,0.007552366,0.003375067,0.10435927,0.12497103,0.18319994,0.276213923,0.000297056,0.532903085,0,0.007385996,0.472906766,0.527093234,0.013690032,0.204146248,0.250118213,0.181578609,1.082723783,0.967885986,0.432951748,0.233937475,0.540331517,0.015377362,0.035517497,
